OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,RESPONSE
99,1,36.0,4,0,0,0,1,0,0,2337.0,0,4,4,0,1,0,0,0,4,1,0,36.0,0,0,1,1,2,1,0,0,1
100,1,20.0,3,0,1,0,0,0,0,7057.0,4,3,3,0,1,0,0,0,4,0,0,36.0,1,1,0,2,3,2,1,0,1
101,3,24.0,2,1,0,0,0,0,0,1469.0,1,4,4,0,0,1,0,0,4,1,0,41.0,0,1,0,1,1,1,0,0,1
102,1,36.0,2,0,0,0,1,0,0,2323.0,0,3,4,0,1,0,0,0,4,0,0,24.0,0,1,0,1,2,1,0,0,1
103,3,6.0,3,0,0,0,1,0,0,932.0,0,2,3,0,0,0,0,0,2,1,0,24.0,0,0,1,1,2,1,0,0,1
104,1,9.0,4,0,0,1,0,0,0,1919.0,0,3,4,0,1,0,0,0,3,0,0,35.0,0,1,0,1,2,1,1,0,1
105,3,12.0,2,0,1,0,0,0,0,2445.0,4,1,2,0,0,1,0,0,4,0,0,26.0,0,1,0,1,2,1,1,0,1
106,1,24.0,4,0,0,0,0,0,0,11938.0,0,2,2,0,1,0,1,0,3,0,0,39.0,0,0,1,2,3,2,1,0,0
107,3,18.0,1,1,0,0,0,0,0,6458.0,0,4,2,0,1,0,0,0,4,0,1,39.0,1,0,1,2,3,2,1,0,0
108,1,12.0,2,1,0,0,0,0,0,6078.0,0,3,2,0,1,0,0,0,2,0,0,-32.0,0,0,1,1,2,1,0,0,1
109,0,24.0,2,0,0,1,0,0,0,7721.0,4,1,1,0,0,0,0,0,2,0,0,30.0,0,0,1,1,2,1,1,1,1
110,1,14.0,2,0,0,0,0,0,1,1410.0,2,4,1,0,0,1,0,0,2,1,0,35.0,0,0,1,1,2,1,1,0,1
111,1,6.0,3,0,0,0,0,0,1,1449.0,1,4,1,1,0,0,0,0,2,0,0,31.0,1,0,1,2,2,2,0,0,1
112,2,15.0,2,0,0,0,0,1,0,392.0,0,1,4,0,0,0,0,0,4,0,0,23.0,0,1,0,1,2,1,1,0,1
113,1,18.0,2,1,0,0,0,0,0,6260.0,0,3,3,0,1,0,0,0,3,1,0,28.0,0,1,0,1,1,1,0,0,1
114,3,36.0,4,1,0,0,0,0,0,7855.0,0,2,4,0,0,0,0,0,2,1,0,25.0,1,0,1,2,2,1,1,0,0
115,0,12.0,2,0,0,0,1,0,0,1680.0,2,4,3,0,0,1,0,0,1,1,0,35.0,0,0,1,1,2,1,0,0,1
116,3,48.0,4,0,0,0,1,0,0,3578.0,4,4,4,0,1,0,0,0,1,1,0,47.0,0,0,1,1,2,1,1,0,1
117,0,42.0,2,0,0,0,1,0,0,7174.0,4,3,4,0,0,0,0,0,3,0,0,30.0,0,0,1,1,3,1,1,0,0
118,0,10.0,4,0,0,1,0,0,0,2132.0,4,1,2,0,0,0,1,0,3,1,0,27.0,0,1,0,2,2,1,0,1,1
119,0,33.0,4,0,0,1,0,0,0,4281.0,2,2,1,0,0,0,0,0,4,0,0,23.0,0,0,1,2,2,1,0,0,0
120,1,12.0,4,1,0,0,0,0,0,2366.0,2,3,3,1,0,0,0,0,3,0,0,36.0,0,0,1,1,3,1,1,0,1
121,0,21.0,2,0,0,0,1,0,0,1835.0,0,2,3,0,0,0,0,0,2,1,0,25.0,0,0,1,2,2,1,1,0,0
122,3,24.0,4,0,1,0,0,0,0,3868.0,0,4,4,0,0,0,0,0,2,0,0,41.0,0,1,0,2,3,1,1,0,1
123,3,12.0,2,0,0,1,0,0,0,1768.0,0,2,3,0,1,0,0,0,2,1,0,24.0,0,1,0,1,1,1,0,0,1
124,2,10.0,4,1,0,0,0,0,0,781.0,0,4,4,0,1,0,0,0,4,0,1,63.0,0,0,0,2,2,1,1,0,1
125,1,18.0,2,0,0,1,0,0,0,1924.0,4,1,4,0,0,0,0,0,3,1,0,27.0,0,1,0,1,2,1,0,0,0
126,0,12.0,4,1,0,0,0,0,0,2121.0,0,2,4,0,1,0,0,0,2,0,0,30.0,0,0,1,2,2,1,0,0,1
127,0,12.0,2,0,0,0,1,0,0,701.0,0,2,4,0,0,1,0,0,2,1,0,40.0,0,0,1,1,1,1,0,0,1
128,1,12.0,2,0,0,0,0,0,0,639.0,0,2,4,0,1,0,0,0,2,0,0,30.0,0,0,1,1,2,1,0,0,0
129,1,12.0,4,0,1,0,0,0,0,1860.0,0,0,4,0,1,0,0,0,2,0,0,34.0,0,0,1,2,3,1,1,0,1
130,0,12.0,4,1,0,0,0,0,0,3499.0,0,2,3,0,0,0,1,0,2,1,0,29.0,0,0,1,2,2,1,0,0,0
131,1,48.0,2,1,0,0,0,0,0,8487.0,4,3,1,0,0,0,0,0,2,0,0,24.0,0,0,1,1,2,1,0,0,1
132,0,36.0,3,0,0,0,0,1,0,6887.0,0,2,4,0,1,0,0,0,3,0,0,29.0,1,0,1,1,2,1,1,0,0
133,3,15.0,2,0,0,1,0,0,0,2708.0,0,1,2,0,1,0,0,0,3,0,0,27.0,1,0,1,2,1,1,0,0,1
134,3,18.0,2,0,0,1,0,0,0,1984.0,0,2,4,0,1,0,0,0,4,0,1,47.0,1,0,0,2,2,1,0,0,1
135,3,60.0,2,0,0,0,1,0,0,10144.0,1,3,2,0,0,0,0,0,4,1,0,21.0,0,0,1,1,2,1,1,0,1
136,3,12.0,4,0,0,0,1,0,0,1240.0,4,4,4,0,0,0,0,0,2,1,0,,0,0,1,2,2,1,1,0,1
137,3,27.0,3,0,1,0,0,0,0,8613.0,3,2,2,0,1,0,0,0,2,0,0,,0,0,1,2,2,1,0,0,1
138,1,12.0,2,0,2,0,1,0,0,766.0,2,2,4,0,1,0,0,0,3,1,0,66.0,0,0,1,1,1,1,0,0,0
139,1,15.0,4,0,0,0,1,0,0,2728.0,4,3,4,0,1,0,0,1,2,1,0,35.0,1,0,1,3,2,1,1,0,1
140,2,12.0,2,0,0,0,1,0,0,1881.0,0,2,2,0,0,0,0,0,2,0,0,44.0,0,1,0,1,1,1,1,0,1
141,2,6.0,2,1,0,0,0,0,0,709.0,3,1,2,0,0,1,0,0,2,1,0,,0,0,1,1,0,1,0,1,1
142,1,,2,0,0,0,1,0,0,4795.0,0,1,4,0,0,0,0,0,1,0,1,30.0,0,0,1,1,3,1,1,0,1
143,0,27.0,2,0,0,0,1,0,0,3416.0,0,2,3,0,1,0,0,0,2,0,0,27.0,0,0,1,1,3,1,0,0,1
144,0,18.0,2,0,0,1,0,0,0,2462.0,0,2,2,0,1,0,0,0,2,0,0,22.0,0,0,1,1,2,1,0,0,0
145,3,21.0,4,0,0,1,0,0,0,2288.0,0,1,4,0,0,0,0,0,4,0,0,23.0,0,0,1,1,2,1,1,0,1
146,1,48.0,1,0,0,0,0,0,1,3566.0,1,3,4,0,1,0,0,0,2,0,0,30.0,0,0,1,1,2,1,0,0,1
147,0,6.0,4,1,0,0,0,0,0,860.0,0,4,1,0,0,0,0,0,4,0,1,,0,0,1,2,2,1,1,0,1
148,3,,4,1,0,0,0,0,0,,1,3,4,0,0,0,0,0,3,0,0,51.0,0,0,1,2,2,1,1,0,1
149,0,36.0,4,0,0,1,0,0,0,5371.0,0,2,3,0,1,0,0,1,2,0,0,28.0,0,0,1,2,2,1,0,0,1
150,3,18.0,4,0,0,0,1,0,0,-1582.0,3,4,4,0,1,0,0,0,4,0,0,46.0,0,0,1,2,2,1,0,0,1
151,3,6.0,2,0,0,0,1,0,0,1346.0,1,4,2,0,1,0,0,0,4,0,1,42.0,1,0,0,1,2,2,1,0,1
152,3,10.0,2,0,0,0,1,0,0,1924.0,0,2,1,0,1,0,0,0,4,0,0,38.0,0,0,1,1,2,1,1,1,1
153,2,36.0,2,0,0,0,1,0,0,5848.0,0,2,4,0,1,0,0,0,1,0,0,,0,0,1,1,2,1,0,0,1
154,1,24.0,4,0,1,0,0,0,0,7758.0,3,4,2,0,0,0,0,0,4,0,1,29.0,0,1,0,1,2,1,0,0,1
155,1,24.0,3,0,0,0,0,0,1,6967.0,1,3,4,0,1,0,0,0,4,0,0,36.0,0,1,0,1,3,1,1,0,1
156,0,12.0,2,0,0,1,0,0,0,1282.0,0,2,2,0,0,0,0,0,4,0,0,20.0,0,1,0,1,2,1,0,0,0
157,0,9.0,4,0,0,0,0,0,0,1288.0,1,4,3,0,1,0,0,1,4,1,0,48.0,0,0,1,2,2,2,0,1,1
158,0,12.0,1,0,0,0,0,0,0,339.0,0,4,4,0,0,1,0,0,1,0,0,45.0,1,0,1,1,1,1,0,0,1
159,1,24.0,2,1,0,0,0,0,0,3512.0,1,3,2,0,1,0,0,0,3,0,0,38.0,1,0,1,2,2,1,1,0,1
160,3,6.0,4,0,0,0,1,0,0,1898.0,4,2,1,0,1,0,0,0,2,1,0,34.0,0,0,1,2,1,2,0,0,1
161,3,24.0,4,0,0,0,1,0,0,2872.0,1,4,3,0,1,0,0,0,4,1,0,36.0,0,0,1,1,2,2,1,0,1
162,3,18.0,4,1,0,0,0,0,0,1055.0,0,1,4,0,0,0,0,0,1,0,0,30.0,0,0,1,2,2,1,0,0,1
163,3,15.0,2,0,0,0,0,0,0,1262.0,2,3,4,0,1,0,0,0,3,0,0,36.0,0,0,1,2,2,1,1,0,1
164,1,10.0,2,1,0,0,0,0,0,7308.0,0,0,2,0,1,0,0,0,4,0,1,70.0,1,0,0,1,3,1,1,0,1
165,3,36.0,2,1,0,0,0,0,0,909.0,2,4,4,0,1,0,0,0,4,0,0,36.0,0,0,1,1,2,1,0,0,1
166,3,6.0,2,0,0,1,0,0,0,2978.0,2,2,1,0,1,0,0,0,2,0,0,32.0,0,0,1,1,2,1,1,0,1
167,0,18.0,2,0,0,1,0,0,0,1131.0,0,0,4,0,0,0,0,0,2,0,0,33.0,0,0,1,1,2,1,0,0,0
168,1,11.0,2,0,0,1,0,0,0,1577.0,3,1,4,0,0,0,0,0,1,1,0,20.0,0,0,1,1,2,1,0,0,1
169,3,200.0,2,0,0,1,0,0,0,3972.0,0,3,2,0,0,0,0,0,4,0,0,25.0,0,1,0,1,2,1,1,0,1
170,1,24.0,4,0,0,0,0,0,1,1935.0,0,4,4,1,0,0,0,0,4,1,0,31.0,0,0,1,2,2,1,1,0,0
171,0,15.0,0,1,0,0,0,0,0,950.0,0,4,4,0,1,0,0,0,3,0,0,33.0,0,1,0,2,2,2,0,0,0
172,3,12.0,2,0,0,1,0,0,0,763.0,0,2,4,0,0,0,0,0,1,1,0,26.0,0,0,1,1,2,1,1,0,1
173,1,24.0,3,0,0,1,0,0,0,2064.0,0,0,3,0,0,0,0,0,2,0,0,34.0,0,0,1,1,3,1,1,0,0
174,1,8.0,2,0,0,0,1,0,0,1414.0,0,2,4,0,1,0,0,1,2,1,0,33.0,0,0,1,1,2,1,0,1,1
175,0,21.0,3,0,0,0,0,1,0,3414.0,0,1,2,0,1,0,0,0,1,0,0,26.0,0,0,1,2,2,1,0,0,0
176,3,30.0,1,0,1,0,0,0,0,7485.0,4,0,4,0,0,0,0,0,1,1,0,53.0,1,0,1,1,3,1,1,0,0
177,0,12.0,2,0,0,1,0,0,0,2577.0,0,2,2,1,0,0,0,0,1,0,0,42.0,0,0,1,1,2,1,0,0,1
178,0,6.0,4,0,0,0,1,0,0,338.0,2,4,4,0,1,0,0,0,4,0,0,52.0,0,0,1,2,2,1,0,0,1
179,3,12.0,2,0,0,0,1,0,0,1963.0,0,3,4,0,1,0,0,0,2,0,0,31.0,0,1,0,2,3,2,1,0,1
180,0,21.0,4,1,0,0,0,0,0,571.0,0,4,4,0,1,0,0,0,4,1,0,150.0,0,0,1,2,2,1,0,0,1
181,3,36.0,3,0,0,0,0,0,1,9572.0,0,1,1,1,0,0,0,0,1,0,0,28.0,0,0,1,2,2,1,0,0,0
182,1,36.0,3,0,0,0,0,0,1,4455.0,0,2,2,1,0,0,0,0,2,1,0,30.0,1,0,1,2,3,1,1,0,0
183,0,21.0,1,1,0,0,0,0,0,1647.0,4,2,4,0,1,0,0,0,2,0,0,40.0,0,0,1,2,1,2,0,0,0
184,3,24.0,4,0,0,1,0,0,0,3777.0,3,2,4,0,1,0,0,0,4,1,0,50.0,0,0,1,1,2,1,1,0,1
185,1,18.0,4,1,0,0,0,0,0,884.0,0,4,4,0,1,0,0,0,4,0,0,36.0,1,0,1,1,2,2,1,0,0
186,3,15.0,4,0,0,0,1,0,0,1360.0,0,2,4,0,1,0,0,0,2,0,0,31.0,0,0,1,2,2,1,0,0,1
187,1,9.0,1,0,1,0,0,0,0,5129.0,0,4,2,0,0,0,0,0,4,0,1,74.0,1,0,0,1,3,2,1,0,0
188,1,16.0,4,1,0,0,0,0,0,1175.0,0,0,2,0,1,0,0,0,3,0,0,68.0,0,0,0,3,0,1,1,0,1
189,0,12.0,2,0,0,0,1,0,0,674.0,1,3,4,0,0,1,0,0,1,0,0,20.0,0,0,1,1,2,1,0,0,0
190,1,18.0,0,0,0,1,0,0,0,3244.0,0,2,1,0,0,0,0,0,4,0,0,33.0,1,0,1,2,2,1,1,0,1
